text,allergens
"Home Made Ravioli Cashew Basil Pesto, Spinach, Basil, Garlic, Parmesan; Aubergine Tomato Parmigiano, Pine Nuts, Olive Oil","nuts,milk,gluten"
"Italian Style Meatballs Served With Mash, Beef Meatballs, Confit Cooked Spanish Tomato Sauce, Coriander",None
"Salmon Grilled Salmon, Green Peas Served With Mixed Salad Mash","fish"
"Ribeye steak 225g/300g ribeye Cooked Your Way Served With Grilled Tomato, Gravy And Mixed Leaf Salad 300g",None
"Tuna Salad Green Salad, Green Beans, Boiled Eggs, Tuna, Cherry Tomatoes, Crystallised Walnut, French Dressing","fish,egg,nuts"
Grilled Chicken Breast Served With Mixed Green Salad and Gravy Mash,None
"Sunday Roast Beef Roast Beef, Grilled Vegetables Yorkshire Pudding, Gravy","milk,gluten"
"Sunday Roast Chicken Roast Chicken; Grilled Vegetables, Yorkshire Pudding, Mash, Gravy","milk,gluten"
"Creamy Lasagne Minced Beef, Bolognese; Parmesan","dairy,gluten"
"Caesar Salad Grilled Chicken, Boiled Egg, Roman Lettuce, Parmesan, Dressing, hubs and Salt Crisps ,Tomato","egg"
"Octopus & Seafood Tagliatelle Pasta Tagliatelle, Cream, Chilli, Tarragon","fish,gluten,milk"
"Grilled vegetables",None
"Mash","milk"
"Potato wedges",None
"Butter Spinach","milk"
"Bread and butter","milk,gluten"
"Wagyu Beef Burger Served With Potato Wedges, Brioche Bun, Tomato, Lettuce, English Cheddar","milk,gluten"
"Chicken Tikka Wrap Salad Or Potato Wedges, Lettuce, Onion, Tomato, Chilli Sauce, Caesar Dressing","milk"
"Falafel Wrap Falafel Salad Served With Salad Or Potato Wedges, Lettuce, Onion, Tomato, Hummus; Chilli Sauce",None
"SOUP CONCHIGLIETTE Mini pasta shells in spicy tomato based soup with a touch of cream and basil","gluten,milk"
"CARBONARA RIGATONI Prosciutto ham, oil, egg yolk; grated parmigiana, cracked pepper","gluten,egg,milk"
"PRIMO RISOTTO Seared King prawns, chilli, garlic, herbs, tomato with a rice style pasta","shellfish,gluten"
"KING PRAWN AGLIO OLIO LINGUINI Fresh lemon, butter, garlic, olive oil, herbs, red chillies, cream and fresh basil","shellfish,gluten"
"ASPARAGUS MILANESE Asparagus tips, fried egg, parmigiana Reggiano, garlic; herbs, olive oil","egg,milk"
"CHICKEN CACCIATORE Tomato base, red wine, red chilli, chestnut mushrooms, fresh spinach, with pasta or mash","gluten"
"CAPRESE BRUSCHETTA Mozzarella; piccolo tomatoes, olive oil, balsamic glaze, fresh basil","gluten,milk"
"TUSCAN STEAK Fillet of beef; wine, butter, mushrooms, asparagus tips, with creamed mash","milk"
"MUSHROOM CROSTINI Mushrooms, butter, garlic, fresh spinach, tomatoes hint of balsamic","gluten,milk"
"POLPETTE MEATBALL RAGU Finest mincemeat, red wine, tomato, chilli, grated parmigiana","milk"
"CHAMPAGNE SMOKED SALMON RISOTTO Butter, garlic, cream; asparagus tips, fresh lemon","milk,fish"
"LINGUINI BY THE SEA Scallops, king - prawns, mussels, spicy tomato sauce, fresh basil","gluten,mollusc,shellfish"
"ITALIAN ROLLATINI Finest Buffalo mozzarella; wrapped with prosciutto ham, basil, oven baked","milk"
"Bread","gluten"
"Garlic Bread","gluten,milk"
"Bread and Olives","gluten"
"12 HOUR SMOKED BRISKET a slice of our 12 hour smoked brisket served with bachmade potato salad and a complimentary sauce of your choice",None
"8 HouR SMOKED BEEF RIB TACOS tender beef short rib on the bone served with six fired tacos, house slaw; peach salsa and bachmade jalapeno & coriander crema","milk"
"CHICKEN DRUMETTES five chicken drumettes in our house rub, cooked over fire, tossed in sriracha and served with bachmade ranch","milk"
"CORN RIBS super simple six fired corn ribs served with jalapeno & coriander crema","milk"
"SMOKED CHEDDAR & JALAPENO meat; cheese; spice and all things nice? a great mildly spiced sausage that goes great with something sweet like the texas bbq sauce","milk"
"CHEESEBURGER no, not that kind of cheeseburger. this is the kind stuffed into a sausage So if you're one of these ""types"" that go for a ""burger,no bun"", you're in luck and ifyou're a kiwi, this is the type of snag that's got cheese kransky written all over it watch your mouth","milk"
"BeEF & PoRK RENDANG there are plenty of malaysian joints in kiwiland making this sausage somewhat of a throwback we still struggle finding a good rendang over this way, but this is a good substitute try it with the smoked jalapeno jam",None
"ONION BHAJI steven's a big fan of onion bhaji but he's never tried an onion bhaji snag; packed full of pork shoulder; fragrant spices, chilli, ginger, mango chutney and loads of actual onion bhajis mango & habanero sauce anyone?",None
"PICANTE OAXACA KETCHUP, a fancy; slightly spiced tomato sauce",None
"FRUITY BBQ SAUCE, rich, fruity, californian-style",None
"SMOKED JALAPENO, hot jam",None
"TEXAS BBQ SAUCE, light & sweet",None
"MANGO & HABANERO, sweet heat",None
"PRAWN & AVOCADO SALAD","shellfish"
"LOCAL ROCK OYSTERS WITH VINAIGRETTE","mollusc"
"PUMPKIN, SAGE & PARMESAN RAVIOLI","gluten,milk"
"BEEF CARPACCIO WITH CAPERS IN OLIVE OIL",None
"RAW KINGFISH TARTARE & EDAMAME PUREE","fish"
"PROSCIUTTO MICRO HERB SALAD",None
"AGED EYE FILLET STEAK WITH FRIES",None
"SPAGHETTI BOLOGNESE WITH PARMESAN","gluten,milk"
"CITRUS & THYME TART WITH DOUBLE CREAM","milk,gluten"
"CARAMEL APPLE PIE WITH VANILLA BEAN ICE CREAM","gluten,milk"
"ICE CREAM CHOCOLATE, VANILLA & STRAWBERRY","milk"
